1,10
11,66
67,103
104,170
171,230
231,305
306,431
432,550
551,649
650,721
722,764
765,850
851,894
895,984
985,1058
1059,1130
1131,1186
1187,1246
1247,1354
1355,1367
1368,1473
1474,1536
1537,1597
1598,1791
1792,1991
1992,2181
2182,2328
2329,2423
2424,2608
2609,2736
2737,2849
2850,2940
2941,3082
3083,3180
3181,3373
3374,3530
3531,3802
3803,3912
3913,4148
4149,4274
4275,4425
4426,4596
4597,4672
4673,4868
4869,4955
4956,5029
5030,5313
5314,5485
5486,5784
5785,5797
5798,5978
5979,6103
6104,6120
6121,6137
6138,6154
6155,6171
6172,6188
6189,6205
6206,6580
